datetime,Beach Road,Carlton Gore Cycle Counter,Curran Street Road,Curran Street Shared Path,Dominion Rd City Bound,Dominion Road Outbound,East Coast Road,GI TO TAMAKI DR SECTION-1,Grafton Bridge,Grafton Gully,Grafton Road,Great North Rd City Bound,Great Nth Rd Sth Side,Great South Rd (Manukau) NB,Great South Rd (Manukau) SB,HighBrook,Hopetoun Street,Karangahape Road,Lagoon Drive,Lake Rd NB,Lake Road SB New,Mangere Bridge,Mangere Safe Routes,Matakana,NW Cycleway Kingsland,NW Cycleway TeAtatu,Nelson Street,Nelson Street Lightpath bikes 8 loop,Oceanview Rd Waiheke,Orewa Path,Ormiston Rd Sth,Ormiston Road Nth,Pukekohe - Queen St,Quay St Spark Arena,Quay St Spark Arena Shared Pathway,Quay St Totem UZELT,Rankin Ave,SW Shared Path,Saint Lukes Rd NB,Saint Lukes Rd SB,Symonds Street City Bound,Symonds Street Sth Bound,Tamaki Drive EB,Tamaki Drive WB,TeWero Bridge Bike Counter,Twin Streams,Upper Queen Street,Victoria Street West On Rd,Victoria Street West Shared Path,Waterview Unitec Counter
2011-01-05 03:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-05 04:00:00,,,,,,,,,,,,,,1,0,0.0,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-05 05:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,6,,,0.0,,,,
2011-01-05 06:00:00,,,,,,,,,,,,,,3,0,8.0,,,,5.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,31,,,0.0,,,,
2011-01-05 07:00:00,,,,,,,,,,,,,,5,4,8.0,,,,11.0,,,,,6.0,,,,,0.0,,,,,,,,,,,,,49,,,7.0,,,,
2011-01-05 08:00:00,,,,,,,,,,,,,,3,4,3.0,,,,26.0,,,,,30.0,,,,,2.0,,,,,,,,,,,,,55,,,7.0,,,,
2011-01-05 09:00:00,,,,,,,,,,,,,,2,2,1.0,,,,14.0,,,,,33.0,,,,,13.0,,,,,,,,,,,,,42,,,6.0,,,,
2011-01-05 10:00:00,,,,,,,,,,,,,,4,0,0.0,,,,12.0,,,,,18.0,,,,,10.0,,,,,,,,,,,,,39,,,12.0,,,,
2011-01-05 11:00:00,,,,,,,,,,,,,,7,1,0.0,,,,9.0,,,,,15.0,,,,,20.0,,,,,,,,,,,,,33,,,6.0,,,,
2011-01-05 12:00:00,,,,,,,,,,,,,,3,2,0.0,,,,9.0,,,,,17.0,,,,,18.0,,,,,,,,,,,,,36,,,6.0,,,,
2011-01-05 13:00:00,,,,,,,,,,,,,,3,5,0.0,,,,8.0,,,,,0.0,,,,,40.0,,,,,,,,,,,,,28,,,0.0,,,,
2011-01-05 14:00:00,,,,,,,,,,,,,,0,4,1.0,,,,5.0,,,,,0.0,,,,,37.0,,,,,,,,,,,,,34,,,0.0,,,,
2011-01-05 15:00:00,,,,,,,,,,,,,,1,4,3.0,,,,11.0,,,,,8.0,,,,,13.0,,,,,,,,,,,,,42,,,19.0,,,,
2011-01-05 16:00:00,,,,,,,,,,,,,,1,0,4.0,,,,9.0,,,,,4.0,,,,,14.0,,,,,,,,,,,,,62,,,21.0,,,,
2011-01-05 17:00:00,,,,,,,,,,,,,,3,6,5.0,,,,6.0,,,,,14.0,,,,,24.0,,,,,,,,,,,,,73,,,10.0,,,,
2011-01-05 18:00:00,,,,,,,,,,,,,,2,6,0.0,,,,17.0,,,,,40.0,,,,,25.0,,,,,,,,,,,,,59,,,23.0,,,,
2011-01-05 19:00:00,,,,,,,,,,,,,,2,1,4.0,,,,7.0,,,,,24.0,,,,,19.0,,,,,,,,,,,,,19,,,17.0,,,,
2011-01-05 20:00:00,,,,,,,,,,,,,,2,2,2.0,,,,6.0,,,,,6.0,,,,,2.0,,,,,,,,,,,,,35,,,63.0,,,,
2011-01-05 21:00:00,,,,,,,,,,,,,,0,0,1.0,,,,2.0,,,,,9.0,,,,,9.0,,,,,,,,,,,,,6,,,37.0,,,,
2011-01-05 22:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,3.0,,,,,2.0,,,,,,,,,,,,,5,,,0.0,,,,
2011-01-05 23:00:00,,,,,,,,,,,,,,0,2,0.0,,,,1.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,1,,,0.0,,,,
2011-01-06 00:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-06 01:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,3.0,,,,,0.0,,,,,,,,,,,,,0,,,1.0,,,,
2011-01-06 02:00:00,,,,,,,,,,,,,,1,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-06 03:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,2,,,0.0,,,,
2011-01-06 04:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,3.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-06 05:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,6,,,0.0,,,,
2011-01-06 06:00:00,,,,,,,,,,,,,,2,0,8.0,,,,4.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,38,,,0.0,,,,
2011-01-06 07:00:00,,,,,,,,,,,,,,5,1,8.0,,,,5.0,,,,,4.0,,,,,4.0,,,,,,,,,,,,,52,,,7.0,,,,
2011-01-06 08:00:00,,,,,,,,,,,,,,3,2,3.0,,,,21.0,,,,,33.0,,,,,14.0,,,,,,,,,,,,,44,,,7.0,,,,
2011-01-06 09:00:00,,,,,,,,,,,,,,4,1,1.0,,,,12.0,,,,,27.0,,,,,6.0,,,,,,,,,,,,,36,,,6.0,,,,
2011-01-06 10:00:00,,,,,,,,,,,,,,6,1,0.0,,,,11.0,,,,,13.0,,,,,15.0,,,,,,,,,,,,,27,,,12.0,,,,
