,Dir(DegT),Speed(m/s)
2012-04-18,203.4,0.9199999999999999
2012-04-19,107.8,1.42
2012-04-20,209.4,0.8400000000000001
2012-04-21,143.0,0.9199999999999999
2012-04-22,195.6,0.8
2012-04-23,124.2,0.76
2012-04-24,213.6,0.58
2012-04-25,131.6,1.48
2012-04-26,98.6,1.14
2012-04-27,95.6,8.379999999999999
2012-04-28,256.2,7.3
2012-04-29,253.8,3.02
2012-04-30,253.0,5.640000000000001
2012-05-01,198.2,3.62
2012-05-02,157.4,1.8800000000000001
2012-05-03,175.0,0.74
2012-05-04,208.6,0.8399999999999999
2012-05-05,199.6,0.78
2012-05-06,187.4,1.3599999999999999
2012-05-07,119.0,2.4
2012-05-08,48.0,5.46
2012-05-09,40.0,3.0599999999999996
2012-05-10,209.4,0.8400000000000001
2012-05-11,217.0,5.36
2012-05-12,228.6,7.56
2012-05-13,335.2,2.54
2012-05-14,13.6,4.24
2012-05-15,323.2,4.1
2012-05-16,292.2,5.279999999999999
2012-05-17,220.2,5.76
2012-05-18,242.0,8.52
2012-05-19,235.0,5.82
2012-05-20,170.2,0.82
2012-05-21,108.2,0.9400000000000001
2012-05-22,157.4,1.1199999999999999
2012-05-23,112.2,0.36
2012-05-24,140.2,1.06
2012-05-25,291.0,2.96
2012-05-26,128.2,0.9400000000000001
2012-05-27,34.8,3.8199999999999994
2012-05-28,127.4,3.02
2012-05-29,199.6,4.760000000000001
2012-05-30,75.2,1.08
2012-05-31,223.4,6.24
2012-06-01,164.0,1.52
2012-06-02,96.2,0.9
2012-06-03,266.0,1.0
2012-06-04,110.8,1.1199999999999999
2012-06-05,54.4,3.22
2012-06-06,51.8,3.88
2012-06-07,254.6,9.64
2012-06-08,266.0,1.56
2012-06-09,265.8,5.62
2012-06-10,222.4,4.660000000000001
2012-06-11,251.8,5.58
2012-06-12,210.4,4.48
2012-06-13,194.0,1.38
2012-06-14,189.0,1.12
2012-06-15,105.2,1.56
2012-06-16,173.0,1.9400000000000002
2012-06-17,146.4,1.2799999999999998
2012-06-18,37.8,6.959999999999999
2012-06-19,82.0,3.28
2012-06-20,290.6,3.34
2012-06-21,67.0,1.02
2012-06-22,182.2,2.38
2012-06-23,148.4,1.1400000000000001
2012-06-24,301.0,4.26
2012-06-25,249.4,4.3
2012-06-26,266.2,2.88
2012-06-27,242.4,11.04
2012-06-28,242.6,9.18
2012-06-29,230.0,6.94
2012-06-30,137.0,0.6599999999999999
2012-07-01,108.0,1.48
2012-07-02,117.4,2.56
2012-07-03,68.0,6.36
2012-07-04,96.4,2.3600000000000003
2012-07-05,169.0,0.8800000000000001
2012-07-06,199.0,2.1799999999999997
2012-07-07,235.0,1.1199999999999999
2012-07-08,156.4,0.74
2012-07-09,156.4,0.4
2012-07-10,176.2,0.36
2012-07-11,95.4,0.8800000000000001
2012-07-12,131.4,1.0999999999999999
2012-07-13,34.2,3.3
2012-07-14,48.8,2.7800000000000002
2012-07-15,20.6,4.9
2012-07-16,15.8,6.8
2012-07-17,217.2,9.68
2012-07-18,99.4,0.54
2012-07-19,148.0,0.5
2012-07-20,179.4,0.5599999999999999
2012-07-21,79.8,2.56
2012-07-22,71.0,4.5200000000000005
2012-07-23,90.8,2.8399999999999994
2012-07-24,35.4,2.1
2012-07-25,169.8,1.54
2012-07-26,151.6,2.24
2012-07-27,216.2,0.62
2012-07-28,96.2,0.9800000000000001
2012-07-29,62.4,6.040000000000001
2012-07-30,50.4,4.54
2012-07-31,39.8,1.94
2012-08-01,69.6,2.2800000000000002
2012-08-02,73.6,2.4
2012-08-03,92.0,2.2800000000000002
2012-08-04,106.4,0.4600000000000001
