,Amount(Hrs)
2013-09-21,0.0375
2013-09-22,0.6375
2013-09-23,0.5458333333333334
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.21666666666666665
2013-09-27,0.125
2013-09-28,0.5416666666666667
2013-09-29,0.037500000000000006
2013-09-30,0.2833333333333333
2013-10-01,0.4916666666666667
2013-10-02,0.8125
2013-10-03,0.5916666666666666
2013-10-04,0.04583333333333334
2013-10-05,0.4166666666666667
2013-10-06,0.675
2013-10-07,0.6208333333333333
2013-10-08,0.24166666666666664
2013-10-09,0.36250000000000004
2013-10-10,0.5083333333333333
2013-10-11,0.0
2013-10-12,0.47916666666666663
2013-10-13,0.6916666666666667
2013-10-14,0.05416666666666667
2013-10-15,0.26666666666666666
2013-10-16,0.5708333333333333
2013-10-17,0.7083333333333334
2013-10-18,0.85
2013-10-19,0.7125
2013-10-20,0.7458333333333333
2013-10-21,0.4166666666666667
2013-10-22,0.7416666666666667
2013-10-23,0.10000000000000002
2013-10-24,0.525
2013-10-25,0.225
2013-10-26,0.8458333333333333
2013-10-27,0.575
2013-10-28,0.7041666666666667
2013-10-29,0.5416666666666666
2013-10-30,0.6041666666666667
2013-10-31,0.2708333333333333
2013-11-01,0.24166666666666667
2013-11-02,0.7833333333333333
2013-11-03,0.55
2013-11-04,0.925
2013-11-05,0.19999999999999998
2013-11-06,0.3375
2013-11-07,0.03333333333333333
2013-11-08,0.3583333333333334
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.0125
2013-11-12,0.07916666666666666
2013-11-13,0.7583333333333333
2013-11-14,0.825
2013-11-15,0.9625
2013-11-16,0.8
2013-11-17,0.24583333333333335
2013-11-18,0.8791666666666667
2013-11-19,0.20833333333333331
2013-11-20,0.5791666666666667
2013-11-21,0.5583333333333333
2013-11-22,0.8791666666666667
2013-11-23,0.8458333333333333
2013-11-24,0.6375
2013-11-25,0.3375
2013-11-26,0.4916666666666667
2013-11-27,0.2375
2013-11-28,0.3458333333333333
2013-11-29,0.675
2013-11-30,0.175
2013-12-01,0.4333333333333334
2013-12-02,0.6041666666666667
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.35000000000000003
2013-12-06,0.3541666666666667
2013-12-07,0.4958333333333333
2013-12-08,0.85
2013-12-09,0.3208333333333333
2013-12-10,0.2833333333333333
2013-12-11,0.025
2013-12-12,0.9625
2013-12-13,0.5375
2013-12-14,0.9041666666666666
2013-12-15,0.8375
2013-12-16,0.95
2013-12-17,0.8708333333333333
2013-12-18,0.5333333333333333
2013-12-19,0.55
2013-12-20,0.925
2013-12-21,0.6166666666666667
2013-12-22,0.5875
2013-12-23,0.8875
2013-12-24,0.3125
2013-12-25,0.25
2013-12-26,0.6041666666666666
2013-12-27,0.6708333333333334
2013-12-28,0.07916666666666666
2013-12-29,0.0
2013-12-30,0.47916666666666663
2013-12-31,0.7916666666666666
2014-01-01,0.475
2014-01-02,0.9375
2014-01-03,0.44166666666666665
2014-01-04,0.15833333333333333
2014-01-05,0.16666666666666666
2014-01-06,0.8625
2014-01-07,0.6541666666666667
2014-01-08,0.525
2014-01-09,0.575
2014-01-10,0.8875
2014-01-11,0.13749999999999998
2014-01-12,0.1375
2014-01-13,0.7416666666666667
2014-01-14,0.4833333333333333
2014-01-15,0.75
2014-01-16,0.0
2014-01-17,0.4791666666666667
2014-01-18,0.6625
2014-01-19,0.6708333333333334
2014-01-20,0.016666666666666666
2014-01-21,0.016666666666666666
2014-01-22,0.39166666666666666
2014-01-23,0.5833333333333333
2014-01-24,0.7916666666666666
2014-01-25,0.8958333333333333
2014-01-26,0.0
2014-01-27,0.825
2014-01-28,0.8833333333333333
2014-01-29,0.9
2014-01-30,0.4125
2014-01-31,0.7541666666666667
2014-02-01,0.8125
2014-02-02,0.7041666666666667
2014-02-03,0.6208333333333333
2014-02-04,0.30416666666666664
2014-02-05,0.1625
2014-02-06,0.34166666666666673
2014-02-07,0.0125
2014-02-08,0.6166666666666667
2014-02-09,0.5541666666666666
2014-02-10,0.8583333333333334
2014-02-11,0.07083333333333333
2014-02-12,0.35000000000000003
2014-02-13,0.2791666666666667
2014-02-14,0.4666666666666667
2014-02-15,0.8125
2014-02-16,0.8375
2014-02-17,0.8083333333333333
2014-02-18,0.825
2014-02-19,0.0
2014-02-20,0.22083333333333333
2014-02-21,0.7625
2014-02-22,0.11666666666666667
2014-02-23,0.525
2014-02-24,0.75
2014-02-25,0.48333333333333334
2014-02-26,0.5541666666666667
2014-02-27,0.5916666666666667
2014-02-28,0.6666666666666667
2014-03-01,0.6125
2014-03-02,0.44999999999999996
2014-03-03,0.3375
2014-03-04,0.6416666666666667
2014-03-05,0.7
2014-03-06,0.775
2014-03-07,0.775
2014-03-08,0.775
2014-03-09,0.5583333333333333
2014-03-10,0.3625
2014-03-11,0.6916666666666667
2014-03-12,0.16666666666666666
2014-03-13,0.7458333333333333
2014-03-14,0.0875
2014-03-15,0.09999999999999999
2014-03-16,0.1375
2014-03-17,0.75
2014-03-18,0.6041666666666667
2014-03-19,0.575
2014-03-20,0.7041666666666666
2014-03-21,0.29583333333333334
2014-03-22,0.7166666666666666
2014-03-23,0.4125
2014-03-24,0.5125
2014-03-25,0.5708333333333333
2014-03-26,0.5875
2014-03-27,0.5
2014-03-28,0.5916666666666666
2014-03-29,0.31666666666666665
2014-03-30,0.5791666666666667
2014-03-31,0.6875
2014-04-01,0.5458333333333334
2014-04-02,0.15833333333333333
2014-04-03,0.35000000000000003
2014-04-04,0.7375
2014-04-05,0.7
2014-04-06,0.7333333333333334
2014-04-07,0.6333333333333333
2014-04-08,0.2708333333333333
2014-04-09,0.3
2014-04-10,0.2833333333333333
2014-04-11,0.275
2014-04-12,0.6833333333333333
2014-04-13,0.55
2014-04-14,0.2375
2014-04-15,0.15
2014-04-16,0.0125
2014-04-17,0.3666666666666667
2014-04-18,0.2833333333333333
2014-04-19,0.2375
2014-04-20,0.3666666666666667
2014-04-21,0.14166666666666666
2014-04-22,0.525
2014-04-23,0.4416666666666667
2014-04-24,0.20416666666666666
2014-04-25,0.5166666666666667
2014-04-26,0.3958333333333333
2014-04-27,0.30833333333333335
2014-04-28,0.29583333333333334
2014-04-29,0.4041666666666667
2014-04-30,0.19583333333333333
2014-05-01,0.6083333333333333
2014-05-02,0.25
2014-05-03,0.12083333333333332
2014-05-04,0.4625
2014-05-05,0.0
2014-05-06,0.35416666666666663
2014-05-07,0.3125
2014-05-08,0.058333333333333334
2014-05-09,0.2583333333333333
2014-05-10,0.4875
2014-05-11,0.5333333333333333
2014-05-12,0.20833333333333331
2014-05-13,0.4125
2014-05-14,0.1625
2014-05-15,0.31666666666666665
2014-05-16,0.5375000000000001
2014-05-17,0.0375
2014-05-18,0.25416666666666665
2014-05-19,0.25416666666666665
2014-05-20,0.45416666666666666
2014-05-21,0.29166666666666663
2014-05-22,0.2583333333333333
2014-05-23,0.175
2014-05-24,0.025
2014-05-25,0.15
2014-05-26,0.13333333333333333
2014-05-27,0.5375000000000001
2014-05-28,0.5375000000000001
2014-05-29,0.016666666666666666
2014-05-30,0.19999999999999998
2014-05-31,0.5
2014-06-01,0.19166666666666665
2014-06-02,0.06666666666666667
2014-06-03,0.21666666666666665
2014-06-04,0.4583333333333333
2014-06-05,0.29583333333333334
2014-06-06,0.12916666666666665
2014-06-07,0.125
2014-06-08,0.125
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.15
2014-06-12,0.037500000000000006
2014-06-13,0.4708333333333333
2014-06-14,0.47916666666666663
2014-06-15,0.225
2014-06-16,0.0
2014-06-17,0.06250000000000001
2014-06-18,0.3208333333333333
2014-06-19,0.14583333333333334
2014-06-20,0.275
2014-06-21,0.26666666666666666
2014-06-22,0.2916666666666667
2014-06-23,0.18333333333333335
2014-06-24,0.14583333333333334
2014-06-25,0.0
2014-06-26,0.15
2014-06-27,0.2
2014-06-28,0.3083333333333333
2014-06-29,0.13333333333333333
2014-06-30,0.0
2014-07-01,0.1375
2014-07-02,0.19583333333333333
2014-07-03,0.12916666666666665
2014-07-04,0.3
2014-07-05,0.075
2014-07-06,0.1125
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.0
2014-07-12,0.016666666666666666
2014-07-13,0.17083333333333334
2014-07-14,0.016666666666666666
2014-07-15,0.5291666666666667
2014-07-16,0.5291666666666667
2014-07-17,0.5041666666666667
2014-07-18,0.49583333333333335
2014-07-19,0.1625
2014-07-20,0.0
2014-07-21,0.15416666666666665
2014-07-22,0.4
2014-07-23,0.47916666666666663
2014-07-24,0.5
2014-07-25,0.2125
2014-07-26,0.3125
2014-07-27,0.11666666666666665
2014-07-28,0.5291666666666667
2014-07-29,0.1625
2014-07-30,0.36666666666666664
2014-07-31,0.43333333333333335
2014-08-01,0.3416666666666667
2014-08-02,0.03333333333333333
2014-08-03,0.21666666666666667
2014-08-04,0.3416666666666667
2014-08-05,0.32083333333333336
2014-08-06,0.30833333333333335
2014-08-07,0.12083333333333333
2014-08-08,0.20833333333333334
2014-08-09,0.6166666666666667
2014-08-10,0.16666666666666666
2014-08-11,0.2791666666666667
2014-08-12,0.2583333333333333
2014-08-13,0.21250000000000002
2014-08-14,0.25416666666666665
2014-08-15,0.42916666666666664
2014-08-16,0.058333333333333334
2014-08-17,0.0375
2014-08-18,0.35833333333333334
2014-08-19,0.0
2014-08-20,0.0125
2014-08-21,0.6208333333333333
2014-08-22,0.6458333333333334
2014-08-23,0.6625
2014-08-24,0.6916666666666667
2014-08-25,0.37916666666666665
2014-08-26,0.5666666666666667
2014-08-27,0.1625
2014-08-28,0.04583333333333334
2014-08-29,0.11249999999999999
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,0.5541666666666667
2014-09-03,0.1
2014-09-04,0.0375
2014-09-05,0.125
2014-09-06,0.175
2014-09-07,0.7458333333333333
2014-09-08,0.016666666666666666
2014-09-09,0.475
2014-09-10,0.38749999999999996
2014-09-11,0.4208333333333333
2014-09-12,0.0
